"From","To","weight"
"Brewer Wf","Staley Kw",1
"Stein H","Bigelow J",1
"Stein H","Weatherall Jo",1
"Ackermann R","Kim J",11
"Ackermann R","Morgan Cg",15
"Ackermann R","Ackermann R",7
"Ackermann R","Jobe Ek",2
"Ackermann R","Goodman N",1
"Ackermann R","Brody Ba",2
"Ackermann R","Miettinesk",4
"Ackermann R","Bunge M",1
"Ackermann R","Lauter Ha",2
"Ackermann R","Kaplan D",10
"Stanford Pk","Chang Hs",1
"Stanford Pk","Kitcher P",7
"Stanford Pk","Khalidi Ma",1
"Stanford Pk","Slater Mh",1
"Steel D","Giere Rn",2
"Steel D","Brown Mj",2
"Steel D","Fisch M",1
"Steel D","Steel D",1
"Jones T","Kitcher P",1
"Fitelson B","Joyce Jm",2
"Fitelson B","Weisberg M",3
"Fitelson B","Staley Kw",2
"Fitelson B","Levinstein Ba",1
"Fitelson B","Huber F",9
"Fitelson B","Giere Rn",1
"Fitelson B","Lloyd Ea",1
"Fitelson B","Myrvold Wc",11
"Fitelson B","Leitgeb H",1
"Fitelson B","Hawthorne J",10
"Fitelson B","Milne P",15
"Fitelson B","Maher P",5
"Fitelson B","Finch Ha",3
"Fitelson B","Fitelson B",12
"Porpora Dv","Ringen Jd",2
"Porpora Dv","Ruse Me",1
"Chalmers A","Shapere D",1
"Chalmers A","Culp S",2
"Chalmers A","Staley Kw",1
"Stegenga J","Staley Kw",1
"Chang Hs","Fahrbach L",1
"Morrison M","Bangu S",2
"Morrison M","Machamer P",1
"Gemes K","Fisch M",1
"Gemes K","Waters Ck",1
"Silberstein M","Kaplan Dm",1
"Silberstein M","Chemero A",1
"Silberstein M","Batterman Rw",1
"Silberstein M","Machamer P",1
"Silberstein M","Woodward J",1
"Plutynski A","Giere Rn",2
"Plutynski A","Suarez M",1
"Stairs A","Hellman G",1
"Culp S","Shapere D",1
"Culp S","Staley Kw",2
"Vance Re","Hardcastle Vg",1
"Hempel Cg","Humphreys Wc",1
"Hempel Cg","Gardenfors P",1
"Cupples B","Jobe Ek",2
"Cupples B","Cupples B",1
"Cupples B","Kaplan D",3
"Cupples B","Kitcher P",2
"Cupples B","Schlesinger G",1
"Vollmer Sh","Scerri Er",1
"Finch Ha","Hawthorne J",1
"Finch Ha","Maher P",1
"Finch Ha","Huber F",1
"Finch Ha","Milne P",1
"Ruse Me","Ringen Jd",1
"Glymour B","Batterman Rw",1
"Glymour B","Horan Bl",4
"Glymour B","Rosenberg A",3
"Glymour B","Dietrich Mr",1
"Glymour B","Graves L",6
"Leonard Hs","Wheatley Jmo",1
"Stone Ad","Bedard K",1
"Stone Ad","Maudlin T",1
"Woodward J","Belot G",1
"Woodward J","Schaffer J",2
"Woodward J","Woodward J",2
"Woodward J","Brandon R",1
"Woodward J","Mitchell Sd",6
"Woodward J","Chemero A",1
"Woodward J","Hitchcock Cr",1
"Woodward J","Jobe Ek",3
"Woodward J","Kaplan Dm",2
"Woodward J","Waters Ck",1
"Woodward J","Kitcher P",2
"Woodward J","Machamer P",9
"Woodward J","Batterman Rw",2
"Woodward J","Earman J",1
"Hoy Rc","Libet B",1
"Kukla A","Fumerton Ra",1
"Kukla A","Snyder Lj",1
"Zynda L","Maher P",1
"Zynda L","Hellman G",1
"Zynda L","Joyce Jm",1
"Lauter Ha","Kim J",1
"Lauter Ha","Jobe Ek",2
"Lauter Ha","Kaplan D",1
"Chemero A","Kaplan Dm",2
"Chemero A","Batterman Rw",1
"Chemero A","Machamer P",5
"Kordig Cr","Barrett R",1
"Kordig Cr","Siegel H",2
"Kordig Cr","Schefflei",1
"Mcmullin E","Niiniluoto I",1
"Mcmullin E","Shraderfrechette K",1
"Mcmullin E","Snyder Lj",1
"Mcmullin E","Shapere D",1
"Mcmullin E","Vollmer S",1
"Belot G","Batterman Rw",2
"Belot G","Hughes Rig",1
"Glennan Ss","Hitchcock Cr",1
"Glennan Ss","Wimsatt Wc",1
"Glennan Ss","Kitcher P",1
"Glennan Ss","Machamer P",3
"Glennan Ss","Waters Ck",1
"Maher P","Armendt B",2
"Maher P","Maher P",1
"Maher P","Hellman G",3
"Maher P","Leitgeb H",3
"Maher P","Huber F",1
"Maher P","Rosenkrantz Rd",1
"Maher P","Juhl C",1
"Maher P","Joyce Jm",3
"Maher P","Hawthorne J",1
"Maher P","Milne P",3
"Carlson R","Spielman S",1
"Waters Ck","Fisch M",1
"Waters Ck","Brandon R",1
"Waters Ck","Wilson Ra",5
"Waters Ck","Mitchell Sd",2
"Waters Ck","Lloyd Ea",6
"Waters Ck","Graves L",1
"Waters Ck","Machamer P",1
"Waters Ck","Waters Ck",2
"Waters Ck","Kitcher P",1
"Waters Ck","Horan Bl",1
"Waters Ck","Love Ac",1
"Waters Ck","Saidel E",1
"Waters Ck","Rosenberg A",2
"Waters Ck","Earman J",1
"Barnette Rl","Ginsberg A",1
"Laymon R","Laymon R",1
"Horan Bl","Batterman Rw",1
"Horan Bl","Lloyd Ea",1
"Horan Bl","Rosenberg A",2
"Horan Bl","Dietrich Mr",1
"Horan Bl","Graves L",7
"Horan Bl","Brandon R",1
"Bigelow J","Hitchcock Cr",1
"Sharp Wd","Mermin Nd",1
"Goodman N","Bunge M",1
"Staley Kw","Weisberg M",3
"Staley Kw","Shapere D",1
"Staley Kw","Giere Rn",1
"Rosenberg A","Brandon R",2
"Rosenberg A","Mitchell Sd",1
"Rosenberg A","Giere Rn",1
"Rosenberg A","Rosenberg A",2
"Rosenberg A","Lloyd Ea",1
"Rosenberg A","Wimsatt Wc",1
"Rosenberg A","Batterman Rw",1
"Rosenberg A","Machamer P",4
"Rosenberg A","Kitcher P",2
"Rosenberg A","Rosen Da",1
"Rosenberg A","Graves L",4
"Rosenberg A","Resnik Db",1
"Rosenberg A","Laudan R",1
"Rosenberg A","Keeley Bl",1
"Sesardic N","Sesardic N",3
"Brody Ba","Kim J",2
"Brody Ba","Friedman Ks",1
"Brody Ba","Morgan Cg",2
"Brody Ba","Miettinesk",1
"Brody Ba","Kaplan D",1
"Angel Rb","Machamer P",1
"Huttegger Sm","Barrett Ja",2
"Smeenk C","Earman J",1
"Mulaik Sa","Bandyopadhayay Ps",1
"Mulaik Sa","Rosen Da",1
"Kennedy Jb","Huttemann A",1
"Bueno O","Hughes Rig",1
"Kim J","Morgan Cg",8
"Kim J","Jobe Ek",1
"Kim J","Reisch Ga",1
"Kim J","Miettinesk",2
"Kim J","Kaplan D",8
"Morgan Cg","Morgan Cg",5
"Morgan Cg","Miettinesk",5
"Morgan Cg","Kaplan D",7
"Myrvold Wc","Milne P",4
"Myrvold Wc","Lange M",2
"Myrvold Wc","Myrvold Wc",4
"Reisch Ga","Kaplan D",1
"Papineau D","Laudan R",1
"Holsinger Ke","Kitcher P",5
"Hughes Rig","Giere Rn",1
"Hardcastle Vg","Mccauley Rn",1
"Ungar A","Giannoni C",1
"Kitcher P","Weisberg M",2
"Kitcher P","Jobe Ek",2
"Kitcher P","Kaplan Dm",1
"Kitcher P","Machamer P",5
"Kitcher P","Solomon M",2
"Kitcher P","Miller Rw",2
"Kitcher P","Earman J",2
"Kitcher P","Khalidi Ma",2
"Kitcher P","Barrett Ja",1
"Kitcher P","Morton P",1
"Kitcher P","Nelson A",2
"Kitcher P","Lloyd Ea",2
"Kitcher P","Splitter Lj",3
"Kitcher P","Kaplan D",1
"Kitcher P","Slater Mh",1
"Kitcher P","Kitcher P",6
"Kitcher P","Velasco Jd",1
"Machamer P","Mitchell Sd",7
"Machamer P","Hitchcock Cr",1
"Machamer P","Kaplan Dm",3
"Machamer P","Wimsatt Wc",3
"Machamer P","Wilson Ra",1
"Machamer P","Batterman Rw",1
"Machamer P","Ariew A",1
"Machamer P","Keeley Bl",1
"Machamer P","Boorse C",1
"Resnik Db","Laudan R",1
"Sintonen M","Recker Da",2
"Sintonen M","Lloyd Ea",1
"Schlesinger G","Kaplan D",1
"Leitgeb H","Armendt B",2
"Leitgeb H","Milne P",1
"Leitgeb H","Joyce Jm",7
"Leitgeb H","Hawthorne J",1
"Leitgeb H","Levinstein Ba",1
"Leitgeb H","Leitgeb H",3
"Huber F","Hawthorne J",3
"Huber F","Joyce Jm",1
"Huber F","Milne P",4
"Huber F","Huber F",1
"Malament Db","Norton J",1
"Malament Db","Friedman Ks",1
"Malament Db","Batterman Rw",3
"Earman J","Mitchell Sd",1
"Barrett Ja","Barrett Ja",1
"Schefflei","Barrett R",1
"Schefflei","Meiland Jw",1
"Dennett Dc","Lennox Jg",1
"Meehl Pe","Keuth H",1
"Feyerabend Pk","Feyerabend Pk",1
"Saidel E","Wilson Ra",1
"Levinstein Ba","Hawthorne J",1
"Levinstein Ba","Joyce Jm",1
"Levinstein Ba","Milne P",1
"Shapere D","Vollmer S",1
"Shapere D","Shapere D",12
"Jones R","Musgrave A",1
"Jones R","Rouse J",1
"Koertge N","Sargent Rm",1
"Koertge N","Rolin K",1
"Friedman Ks","Batterman Rw",1
"Dietrich Mr","Graves L",2
"Kaplan D","Jobe Ek",2
"Kaplan D","Miettinesk",2
"Jobe Ek","Jobe Ek",1
"Hendry He","Berent P",1
"Snyder Lj","Fumerton Ra",1
"Snyder Lj","Niiniluoto I",1
"Hawthorne J","Milne P",4
"Hawthorne J","Joyce Jm",1
"French S","Suarez M",2
"Nanay B","Helgeson C",1
"Rosen Da","Lloyd Ea",1
"Rosen Da","Rosen Da",1
"Rosen Da","Menzies P",1
"De Langhey R","Weisberg M",1
"Armendt B","Field H",1
"Armendt B","Joyce Jm",1
"Needham P","Needham P",1
"Weisberg M","Weisberg M",4
"Weisberg M","Giere Rn",2
"Weisberg M","Lloyd Ea",3
"Wilson Ra","Lloyd Ea",2
"Giere Rn","Hellman G",1
"Giere Rn","Suarez M",1
"Giere Rn","Solomon M",1
"Giere Rn","Siegel H",1
"Baigrie Bs","Siegel H",1
"Rolin K","Sargent Rm",1
"Siegel H","Roth Pa",1
"Kaplan Dm","Batterman Rw",1
"Graves L","Batterman Rw",1
"Miller Rw","Nelson A",1
"Klee Rl","Wimsatt Wc",1
"Klee Rl","Batterman Rw",1
"Hellman G","Joyce Jm",2
"Zabell Sl","Joyce Jm",1
"Joyce Jm","Field H",1
"Joyce Jm","Milne P",2
"Shafer G","Field H",1
"Root M","Root M",1
"Mitchell Sd","Mitchell Sd",3
"Lloyd Ea","Recker Da",2
"Lloyd Ea","Solomon M",1
"Redei M","Butterfield J",1
"Wimsatt Wc","Hitchcock Cr",1
"Solomon M","Solomon M",1
