"ID","betweenness","info","count","community"
"Kulvicki J",0.004,"Kulvicki J",2,1
"Gale G",0.0,"Gale G",1,32
"Eberle Ra",0.0,"Eberle Ra",1,116
"Alston Wp",0.005,"Alston Wp",2,4
"Trout Jd",0.003,"Trout Jd",7,11
"Weatherall Jo",0.0,"Weatherall Jo",2,7
"Maher P",0.009,"Maher P",19,6
"Graves Pr",0.0,"Graves Pr",2,9
"Bergmann G",0.0,"Bergmann G",4,32
"Elby A",0.0,"Elby A",1,117
"Couch Mb",0.0,"Couch Mb",4,11
"Suits B",0.0,"Suits B",1,118
"Splitter Lj",0.0,"Splitter Lj",4,8
"Jantzen B",0.0,"Jantzen B",1,0
"Goldstick D",0.0,"Goldstick D",1,119
"Weirich P",0.0,"Weirich P",1,125
"Henderson L",0.0,"Henderson L",1,120
"Fisk M",0.0,"Fisk M",1,49
"Reiss J",0.0,"Reiss J",2,3
"Averill Ew",0.0,"Averill Ew",1,122
"Rosenbera",0.0,"Rosenbera",2,75
"Ruse M",0.0,"Ruse M",5,0
"Garber D",0.002,"Garber D",4,6
"Acock M",0.0,"Acock M",3,49
"Jammer M",0.0,"Jammer M",1,27
"Allaire Eb",0.0,"Allaire Eb",1,134
"Rosen Da",0.004,"Rosen Da",9,1
"Giannoni C",0.0,"Giannoni C",4,7
"Wayne A",0.002,"Wayne A",10,6
"Beatty J",0.014,"Beatty J",38,26
"French S",0.0,"French S",4,9
"Piotrowska M",0.0,"Piotrowska M",1,82
"Hanson Pp",0.0,"Hanson Pp",1,16
"Polger Tw",0.0,"Polger Tw",2,11
"Leplin J",0.001,"Leplin J",5,16
"Stemmer N",0.0,"Stemmer N",1,4
"Kaplan M",0.0,"Kaplan M",2,9
"Walsh Dm",0.003,"Walsh Dm",29,26
"Hausman Dm",0.0,"Hausman Dm",3,0
"Leblanc H",0.0,"Leblanc H",1,124
"Shanks N",0.0,"Shanks N",2,11
"Glymour B",0.0,"Glymour B",11,26
"Zytkow Jm",0.0,"Zytkow Jm",6,14
"Ishida Y",0.0,"Ishida Y",1,26
"Byerly Hc",0.006,"Byerly Hc",4,4
"Laudan R",0.0,"Laudan R",3,16
"Miller Rw",0.0,"Miller Rw",1,8
"Bohnert Hg",0.0,"Bohnert Hg",2,21
"Stan M",0.0,"Stan M",1,126
"Woody Ai",0.002,"Woody Ai",2,26
"Psillos S",0.001,"Psillos S",11,16
"Love Ac",0.0,"Love Ac",2,0
"Lenhard J",0.0,"Lenhard J",4,3
"Hofer-Szabo G",0.0,"Hofer-Szabo G",1,8
"Sherry Dm",0.0,"Sherry Dm",1,127
"Wicken Js",0.0,"Wicken Js",2,8
"Hacking I",0.006,"Hacking I",14,6
"Horgan T",0.0,"Horgan T",2,17
"Mccauley Rn",0.0,"Mccauley Rn",3,11
"Cowan Ta",0.0,"Cowan Ta",2,16
"Siegel H",0.018,"Siegel H",9,32
"Ayala Fj",0.001,"Ayala Fj",5,0
"Odenbaugh J",0.0,"Odenbaugh J",4,3
"Mitchell Sd",0.003,"Mitchell Sd",19,11
"Rose Le",0.0,"Rose Le",3,123
"Skyrms B",0.025,"Skyrms B",27,6
"Clatterbaugh Kc",0.0,"Clatterbaugh Kc",1,128
"Guleserit",0.0,"Guleserit",1,129
"Madden Eh",0.0,"Madden Eh",7,49
